,№,Название,Дата включения в реестр[12]
0,1,Голос Америки,05.12.2017
1,2,Idel.Реалии,05.12.2017
2,3,Кавказ.Реалии,05.12.2017
3,4,Крым.Реалии,05.12.2017
4,5,Телеканал Настоящее Время,05.12.2017
5,6,Татаро-башкирская служба Радио Свобода (Azatliq Radiosi),05.12.2017
6,7,«Радио Свободная Европа/Радио Свобода» (PCE/PC),05.12.2017
7,8,Сибирь.Реалии,05.12.2017
8,9,Фактограф,05.12.2017
9,10,Север.Реалии,15.11.2019
10,11,Общество с ограниченной ответственностью «Радио Свободная Европа/Радио Свобода»,11.02.2020
11,12,Чешское информационное агентство «MEDIUM-ORIENT»,21.12.2020
12,13,"Meduza — юридическое лицо зарегистрировано в Латвийской Республике, (регистрационный номер 40103797863, дата регистрации 10.06.2014)",23.04.2021
13,14,ООО «Первое антикоррупционное СМИ»,23.04.2021
14,15,"интернет-ресурс VTimes — юридическое лицо, являющееся администратором доменного имени, зарегистрировано в Королевстве Нидерландов (Stichting 2 Oktober, регистрационный номер № 69126968)",14.05.2021
15,16,The Insider,23.07.2021
16,17,Общество с ограниченной ответственностью Телеканал Дождь,20.08.2021
17,18,"Юридическое лицо Istories fonds, зарегистрированное в Латвийской Республике (регистрационный номер 50008295751, дата регистрации 24.02.2020)",20.08.2021
18,19,Общество с ограниченной ответственностью «Альтаир 2021»,03.09.2021
19,20,Общество с ограниченной ответственностью «Ромашки монолит»,03.09.2021
20,21,Общество с ограниченной ответственностью «Главный редактор 2021»,03.09.2021
21,22,Общество с ограниченной ответственностью «Вега 2021»,03.09.2021
22,23,Общество с ограниченной ответственностью «Важные иноагенты» (издание «Важные истории»),27.09.2021
23,24,Общество с ограниченной ответственностью «ЗП» (издание «Медиазона»),29.09.2021
24,25,Общество с ограниченной ответственностью «Зона права»,29.09.2021
25,26,Общество с ограниченной ответственностью «ЖУРНАЛИСТ-ИНОСТРАННЫЙ АГЕНТ»,01.10.2021
26,27,Общество с ограниченной ответственностью «МЕМО» (издание Кавказский узел),08.10.2021
27,28,"Американская компания «Mason G.E.S. Anonymous Foundation» (США), являющаяся владельцем интернет-издания https://mnews.world/",08.10.2021
28,29,"Компания «Stichting Bellingcat», зарегистрированная в Нидерландах (дата регистрации 11.07.2018)",08.10.2021
29,30,Автономная некоммерческая организация по защите прав человека и информированию населения «Якутия – Наше Мнение»,14.10.2021
30,31,Общество с ограниченной ответственностью «Москоу диджитал медиа»,15.10.2021
31,32,Акционерное общество «РС-Балт»,15.10.2021
32,33,Общество с ограниченной ответственностью «Как бы инагент»,10.11.2021
33,34,Фонд развития книжной культуры «Иркутский союз библиофилов»,19.11.2021
34,35,Общество с ограниченной ответственностью «Честные выборы»,19.11.2021
35,36,Общество с ограниченной ответственностью «Нобелевский призыв»,26.11.2021
36,37,Общество с ограниченной ответственностью «Данное сообщение»,13.01.2022
37,38,Общество с ограниченной ответственностью «Номер семьдесят семь»,13.01.2022
38,39,Общество с ограниченной ответственностью «ЛПНМ»,26.01.2022
39,40,Общество с ограниченной ответственностью Издательский дом «Новая глава»,26.01.2022
40,41,Общество с ограниченной ответственностью «Новогодний выпуск»,18.02.2022
41,42,Общество с ограниченной ответственностью «Процесс 2021»,18.02.2022
42,43,Deutsche Welle,28.03.2022
43,44,Общество с ограниченной ответственностью «Апология»,06.05.2022
44,45,Общество с ограниченной ответственностью «ЛИЗА НОРМ»,18.05.2022
45,46,Общество с ограниченной ответственностью «Апрельские тезисы»,27.05.2022
46,47,Общество с ограниченной ответственностью «Первый научный»,20.06.2022
47,48,Общество с ограниченной ответственностью «Вертолет и КО»,15.07.2022
48,49,Общество с ограниченной ответственностью «Иноагент ААВ»,27.07.2022
49,50,Общество с ограниченной ответственностью «Новости»,02.09.2022
50,51,Общество с ограниченной ответственностью «Время колокольчиков»,09.09.2022
